month_year,province_code,total_pop,total_emp,emp_males,emp_females,total_full_emp,total_part_emp,total_unem,total_emp_rate,total_wage,total_wage_males,total_wage_females,total_avg_wage,avg_wage_males,avg_wage_females,total_median_wage,median_wage_males,median_wage_females,total_hours,total_average_hours,average_hours_males,average_hours_females,ei_claims,cpi,retail_sales,wholesale_sales,manufacturing_sales,food_services_receipts,travellers,vehicles,electric_power_generation,value,international_merchandise_imports,new_housing_price_index
1976-10-01,MB,740.4,436.5,267.5,169,373.7,62.8,21.1,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,17376.2,39.4,43.3,33.1,NA,NA,NA,NA,NA,NA,NA,71752,NA,NA,NA,NA
1976-10-01,NB,485,230.6,148.9,81.7,205.8,24.8,29.3,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9316.6,39.2,42.1,33.9,NA,NA,NA,NA,NA,NA,NA,340369,NA,NA,NA,NA
1976-10-01,NL,372.4,158.1,106.3,51.7,145.1,13,25.6,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6786,41.6,44.3,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-10-01,NS,593.4,297,188.4,108.7,259.9,37.2,33.8,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11895.2,39.5,42.7,33.8,NA,NA,NA,NA,NA,NA,NA,1689,NA,NA,NA,NA
1976-10-01,ON,6244.9,3744.2,2290.8,1453.3,3234.4,509.7,258.1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,143566.1,38.2,41.3,33.4,NA,NA,NA,NA,NA,NA,NA,1141815,NA,NA,NA,NA
1976-10-01,PE,83.3,43.3,27.4,15.9,36.7,6.6,4.3,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,1830.4,41.2,45,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-10-01,QC,4764.9,2538.8,1626.6,912.2,2297.3,241.5,264.4,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,99618.8,39.1,41.6,34.6,NA,NA,NA,NA,NA,NA,NA,259043,NA,NA,NA,NA
1976-10-01,SK,661.8,382.6,248.1,134.5,321.7,60.9,15.6,57.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,16021.9,41.1,45.5,32.9,NA,NA,NA,NA,NA,NA,NA,25163,NA,NA,NA,NA
1976-11-01,AB,1354,880.6,549.5,331.1,750,130.6,37.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,34625.7,39.6,43.9,32.5,NA,NA,NA,NA,NA,NA,NA,15810,NA,NA,NA,NA
1976-11-01,BC,1893.1,1083.4,680.1,403.3,921.3,162.2,91.7,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,40207.8,37.5,40.2,32.8,NA,NA,NA,NA,NA,NA,NA,255432,NA,NA,NA,NA
1976-11-01,MB,741.2,439.5,267.8,171.7,372.6,66.9,22.5,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,16905.2,38.6,42.6,32.3,NA,NA,NA,NA,NA,NA,NA,54960,NA,NA,NA,NA
1976-11-01,NB,485.7,230.7,149.9,80.8,203.8,26.8,30.6,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8955.6,38.9,41.9,33.2,NA,NA,NA,NA,NA,NA,NA,296616,NA,NA,NA,NA
1976-11-01,NL,372.9,156.8,105.4,51.3,144.9,11.8,26.2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,6348.1,41.2,43.6,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-11-01,NS,593.9,296.1,186.6,109.5,260.1,36,34.8,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,11504.7,38.9,42,33.5,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,NA,NA
1976-11-01,ON,6254.3,3764.1,2304.4,1459.7,3245.1,519,253.6,60.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,142185.5,37.9,41,33,NA,NA,NA,NA,NA,NA,NA,938942,NA,NA,NA,NA
1976-11-01,PE,83.4,44.5,28.1,16.4,37.6,6.8,4,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1737.3,40.2,43.8,33.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
